Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Latitude,Longitude,Speed
1729838427547,0.38569176,-0.63519615,9.757976,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427624,0.43513376,-0.6380872,9.8859825,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427625,0.3570801,-0.5847669,9.825557,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427625,0.35146672,-0.61557037,9.807963,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427625,0.28177157,-0.62430084,9.836002,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427626,0.25604537,-0.5874965,9.798016,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427626,0.34015042,-0.6415626,9.8363,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427626,0.26577935,-0.63839465,9.911793,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427626,0.33669132,-0.65548146,10.039664,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427627,0.42572403,-0.7356714,10.103198,0.0065824254,-1.253247E-4,-0.007470399,72.38503,-23.229418,21.0642,23.12779332,72.54175835,23.005219
1729838427639,0.42572403,-0.7356714,10.103198,0.0065824254,-1.253247E-4,-0.007470399,72.35678,-23.166035,21.100111,23.12779332,72.54175835,23.005219
1729838427645,0.42572403,-0.7356714,10.103198,0.0065824254,-1.253247E-4,-0.007470399,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427647,0.36103788,-0.6832929,10.129858,0.0065824254,-1.253247E-4,-0.007470399,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427753,0.36103788,-0.6832929,10.129858,2.2630626E-4,0.0042063366,-0.0035939468,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427754,0.37018627,-0.7390173,10.006899,2.2630626E-4,0.0042063366,-0.0035939468,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427754,0.3819317,-0.73574036,9.884363,2.2630626E-4,0.0042063366,-0.0035939468,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427754,0.41059026,-0.74879175,9.911718,2.2630626E-4,0.0042063366,-0.0035939468,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427755,0.39834264,-0.8076875,9.9521475,2.2630626E-4,0.0042063366,-0.0035939468,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427755,0.2063311,-0.8726307,10.008657,2.2630626E-4,0.0042063366,-0.0035939468,72.35678,-23.166035,21.100111,23.12773081,72.54175815,24.996891
1729838427839,0.2063311,-0.8726307,10.008657,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427915,0.20083758,-0.85052735,9.994884,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427916,0.31189644,-0.9273612,9.851421,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427916,0.21697477,-0.89957595,9.760341,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427916,0.11543423,-0.8948153,9.693458,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427916,0.13063255,-0.98289126,9.686013,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427917,-0.024347447,-0.9055952,9.703507,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427917,-0.018879753,-0.9494015,9.723246,2.2630626E-4,0.0042063366,-0.0035939468,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838427961,-0.018879753,-0.9494015,9.723246,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428036,0.014567198,-0.94652027,9.6887865,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428037,0.10808451,-0.9522313,9.729176,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428037,0.1905554,-0.99891376,9.742823,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428037,0.24408942,-1.0531292,9.8377285,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428038,0.28524166,-1.0205294,9.8552685,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428038,0.4113639,-1.0371614,9.814983,-0.0056221704,0.0014713887,-6.149579E-4,72.32292,-23.089077,21.125088,23.12773081,72.54175815,24.996891
1729838428038,0.4113639,-1.0371614,9.814983,-0.0056221704,0.0014713887,-6.149579E-4,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428168,0.4113639,-1.0371614,9.814983,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428185,0.21459457,-0.9895696,9.758588,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428185,0.4236399,-1.0966209,9.635345,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428185,0.3653526,-1.0189519,9.72088,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428186,0.32745656,-1.0295584,9.799835,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428186,0.40804705,-1.0204563,9.81957,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428186,0.30897003,-1.0192764,9.899844,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428186,0.35700658,-1.0032576,9.797763,-0.0019626475,0.003131878,-0.0024467334,72.28834,-23.016262,21.14507,23.12773081,72.54175815,24.996891
1729838428239,0.35700658,-1.0032576,9.797763,-0.0019626475,0.003131878,-0.0024467334,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428375,0.35700658,-1.0032576,9.797763,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428387,0.3005604,-0.9844606,9.736916,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428387,0.37348926,-0.9754051,9.749374,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428387,0.3045342,-0.99878883,9.8058815,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428388,0.22005805,-0.9958407,9.775593,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428388,0.22079223,-0.92397076,9.804005,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428388,0.21180828,-0.9698447,9.755787,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428389,0.11620633,-1.0145597,9.812925,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428389,0.11916648,-1.0128843,9.922524,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428389,0.043289293,-1.0129795,10.063205,0.0022783298,0.0048573315,6.0824514E-4,72.24567,-22.95051,21.168556,23.12773081,72.54175815,24.996891
1729838428440,0.043289293,-1.0129795,10.063205,0.0022783298,0.0048573315,6.0824514E-4,72.20403,-22.901659,21.202345,23.12773081,72.54175815,24.996891
