Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Latitude,Longitude,Speed
1729838158234,0.5830096,0.029325657,9.979181,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158234,0.59753436,0.01317139,9.970345,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158234,0.5897723,-0.004059105,9.971651,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158234,0.59983385,-0.0044436953,9.979276,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158234,0.5567963,-0.00391388,9.9759245,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158234,0.5319376,-0.005404285,9.967739,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158234,0.5021204,8.2114013E-4,9.94145,5.719962E-4,0.008178098,-0.038931616,36.34844,0.068167076,19.420042,23.1300716,72.54555281,2.6116958
1729838158237,0.5021204,8.2114013E-4,9.94145,5.719962E-4,0.008178098,-0.038931616,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158268,0.47288275,-0.005085862,9.92329,5.719962E-4,0.008178098,-0.038931616,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158268,0.4405196,-0.0044276128,9.917257,5.719962E-4,0.008178098,-0.038931616,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158373,0.4405196,-0.0044276128,9.917257,-8.25219E-4,0.0064813923,-0.03902545,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158393,0.42539677,-0.014309792,9.931693,-8.25219E-4,0.0064813923,-0.03902545,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158394,0.41628954,-0.012404962,9.945515,-8.25219E-4,0.0064813923,-0.03902545,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158394,0.3835202,-0.026554087,9.972843,-8.25219E-4,0.0064813923,-0.03902545,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158394,0.4046826,-0.04995714,9.991476,-8.25219E-4,0.0064813923,-0.03902545,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158395,0.40737522,-0.048220955,10.013082,-8.25219E-4,0.0064813923,-0.03902545,35.915,0.03203366,19.072285,23.1300716,72.54555281,2.6116958
1729838158439,0.40737522,-0.048220955,10.013082,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158554,0.40151337,-0.05831755,10.041493,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158555,0.45652482,-0.05275574,10.049506,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158555,0.5053196,-0.049861625,10.039047,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158555,0.5145648,-0.050058797,10.040969,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158556,0.53380543,-0.04985761,10.05136,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158556,0.59573835,-0.039646804,10.044001,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158557,0.60077816,-0.045356534,10.035601,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158557,0.6184491,-0.033772767,10.001842,-8.25219E-4,0.0064813923,-0.03902545,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158580,0.6184491,-0.033772767,10.001842,-0.00127104,0.0046353354,-0.037787154,35.32075,-0.10562307,18.827827,23.1300716,72.54555281,2.6116958
1729838158639,0.6184491,-0.033772767,10.001842,-0.00127104,0.0046353354,-0.037787154,34.560352,-0.36949846,18.782263,23.1300716,72.54555281,2.6116958
1729838158647,0.6184491,-0.033772767,10.001842,-0.00127104,0.0046353354,-0.037787154,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158651,0.61284506,-0.02247185,9.96299,-0.00127104,0.0046353354,-0.037787154,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158651,0.6370757,9.258166E-4,9.916474,-0.00127104,0.0046353354,-0.037787154,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158651,0.6174573,0.011029789,9.886082,-0.00127104,0.0046353354,-0.037787154,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158652,0.62377644,0.03430739,9.865237,-0.00127104,0.0046353354,-0.037787154,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158788,0.62377644,0.03430739,9.865237,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158826,0.630746,0.045033157,9.862201,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158826,0.57039946,0.037940785,9.857977,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158827,0.63111526,0.036454324,9.868835,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158827,0.5415024,0.054288097,9.901929,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158827,0.5195828,0.05850526,9.920387,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158827,0.5216683,0.0691771,9.938265,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158828,0.42499167,0.06419513,9.964052,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158828,0.41536725,0.0743272,9.966856,3.8815686E-4,0.007953778,-0.035177726,34.560352,-0.36949846,18.782263,23.13007237,72.54557786,1.32251
1729838158839,0.41536725,0.0743272,9.966856,3.8815686E-4,0.007953778,-0.035177726,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838158994,0.41536725,0.0743272,9.966856,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159024,0.39283222,0.069631256,9.970295,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159024,0.39442533,0.08561529,9.952109,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159024,0.32858115,0.08595984,9.9391165,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159025,0.39913616,0.06948572,9.934225,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159025,0.36393508,0.07018479,9.918109,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159026,0.40026078,0.06547984,9.92376,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159026,0.440448,0.0641087,9.897892,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159026,0.45632654,0.053919066,9.900887,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159026,0.46711513,0.08979529,9.878038,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159027,0.4911797,0.12998182,9.871245,0.0013184524,0.008042901,-0.031196507,33.670784,-0.77559876,19.05331,23.13007237,72.54557786,1.32251
1729838159038,0.4911797,0.12998182,9.871245,0.0013184524,0.008042901,-0.031196507,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159200,0.4911797,0.12998182,9.871245,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159224,0.45192683,0.15602934,9.832551,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159224,0.41322646,0.15162309,9.836171,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159225,0.44471878,0.17274415,9.827462,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159225,0.38089967,0.17109662,9.836885,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159225,0.35508865,0.16882148,9.837365,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159226,0.38720158,0.16724066,9.85761,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159226,0.29863462,0.136305,9.883257,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159226,0.3288778,0.11921351,9.903177,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159226,0.30389988,0.07048546,9.952015,9.32589E-4,0.0070451857,-0.026331652,32.67038,-1.269229,19.630148,23.13007237,72.54557786,1.32251
1729838159239,0.30389988,0.07048546,9.952015,9.32589E-4,0.0070451857,-0.026331652,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159277,0.23414683,0.0039855503,10.00927,9.32589E-4,0.0070451857,-0.026331652,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159277,0.31557277,-0.03581457,10.055432,9.32589E-4,0.0070451857,-0.026331652,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159406,0.31557277,-0.03581457,10.055432,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159424,0.28535953,-0.08895078,10.095473,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159424,0.32723084,-0.14808987,10.117217,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159424,0.32112667,-0.2107152,10.136288,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159425,0.37115863,-0.23844258,10.156689,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159425,0.38785416,-0.29352582,10.173607,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159425,0.39474997,-0.3716901,10.161538,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159426,0.39715594,-0.43194836,10.148055,-7.505474E-4,0.0027039978,-0.022195423,31.618805,-1.7541332,20.391619,23.13007237,72.54557786,1.32251
1729838159437,0.39715594,-0.43194836,10.148055,-7.505474E-4,0.0027039978,-0.022195423,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159614,0.39715594,-0.43194836,10.148055,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159623,0.43963906,-0.48410314,10.115614,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159624,0.5013823,-0.533484,10.065732,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159624,0.4349643,-0.59942937,10.022118,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159624,0.4691679,-0.64165723,9.977895,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159625,0.4349156,-0.6486399,9.904829,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159625,0.40021566,-0.6959808,9.866836,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159625,0.35690233,-0.7082503,9.832373,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159626,0.33589077,-0.7354139,9.809109,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159626,0.31106555,-0.7561877,9.773748,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159626,0.23473479,-0.766346,9.739359,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13007237,72.54557786,1.32251
1729838159644,0.23473479,-0.766346,9.739359,-0.0046016024,0.0029878658,-0.015465597,30.582544,-2.1383066,21.180796,23.13006924,72.54561181,12.630834
1729838159650,0.23473479,-0.766346,9.739359,-0.0046016024,0.0029878658,-0.015465597,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159656,0.27548477,-0.7999562,9.7408,-0.0046016024,0.0029878658,-0.015465597,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159822,0.27548477,-0.7999562,9.7408,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159824,0.26082653,-0.7952592,9.7436285,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159824,0.26728538,-0.83696514,9.76922,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159824,0.28310052,-0.82881445,9.790173,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159825,0.28677952,-0.8181064,9.769009,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159825,0.29546553,-0.8160007,9.735926,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159825,0.30504644,-0.78009874,9.676917,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159826,0.2945257,-0.78511596,9.623609,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159826,0.23729555,-0.7693889,9.616375,-0.0028566145,0.0012907361,-0.0073023005,29.622286,-2.4006453,21.785887,23.13006924,72.54561181,12.630834
1729838159837,0.23729555,-0.7693889,9.616375,-0.0028566145,0.0012907361,-0.0073023005,28.816578,-2.5992663,22.13871,23.13006924,72.54561181,12.630834
1729838159996,0.26281753,-0.7478342,9.645045,-0.0028566145,0.0012907361,-0.0073023005,28.816578,-2.5992663,22.13871,23.13006924,72.54561181,12.630834
1729838159996,0.28036374,-0.7539205,9.657094,-0.0028566145,0.0012907361,-0.0073023005,28.816578,-2.5992663,22.13871,23.13006924,72.54561181,12.630834
